kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
cmm_sim.1.sm_70.ptx 152 : 32 320 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 151 : 32 320 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 143 : 32 320 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 46 : 32 224 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 142 : 32 6064 0 0 0 8 8 0 0 
cmm_sim.1.sm_70.ptx 45 : 32 288 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 141 : 32 6288 0 0 0 8 8 0 0 
cmm_sim.1.sm_70.ptx 44 : 32 192 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 140 : 32 6288 0 0 0 8 8 0 0 
cmm_sim.1.sm_70.ptx 43 : 32 192 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 139 : 32 6288 0 0 0 8 8 0 0 
cmm_sim.1.sm_70.ptx 42 : 32 192 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 41 : 32 288 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 135 : 32 320 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 40 : 32 192 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 136 : 32 288 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 39 : 32 288 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 134 : 32 288 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 37 : 32 0 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 29 : 32 96 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 124 : 32 192 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 27 : 32 96 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 28 : 32 96 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 125 : 32 0 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 30 : 32 96 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 127 : 32 192 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 131 : 32 320 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 34 : 32 288 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 31 : 32 160 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 128 : 32 288 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 32 : 32 288 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 129 : 32 288 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 133 : 32 224 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 36 : 32 192 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 33 : 32 320 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 130 : 32 224 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 147 : 32 768 0 0 0 8 8 0 0 
cmm_sim.1.sm_70.ptx 50 : 32 288 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 47 : 32 192 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 144 : 32 320 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 148 : 32 288 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 51 : 32 320 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 48 : 32 192 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 145 : 32 320 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 149 : 32 6176 0 0 0 8 8 0 0 
cmm_sim.1.sm_70.ptx 52 : 32 256 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 49 : 32 192 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 146 : 32 6176 0 0 0 8 8 0 0 
cmm_sim.1.sm_70.ptx 150 : 32 768 0 0 0 8 8 0 0 
cmm_sim.1.sm_70.ptx 53 : 32 160 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 35 : 32 224 0 0 0 0 0 0 0 
cmm_sim.1.sm_70.ptx 132 : 32 288 0 0 0 0 0 0 0 
